Evento,Luogo Principale,Spazio Specifico,Data,Latitudine,Longitudine
Lunedì di Pasqua (Pasquetta),Venezia,Venezia,29.03.2027,45.434272,12.338271
Liberazione Italia,Venezia,Venezia,25.04.2027,45.434272,12.338271
Festa del lavoro,Venezia,Venezia,01.05.2027,45.434272,12.338271
Festa della mamma,Venezia,Venezia,09.05.2027,45.434272,12.338271
Festa dell'Europa,Venezia,Venezia,09.05.2027,45.434272,12.338271
Pentecoste,Venezia,Venezia,16.05.2027,45.434272,12.338271
Festa della Repubblica Italia,Venezia,Venezia,02.06.2027,45.434272,12.338271
Ferragosto,Venezia,Venezia,15.08.2027,45.434272,12.338271
Festa di San Francesco d’Assisi,Venezia,Venezia,04.10.2027,45.434272,12.338271
Fine ora estate,Venezia,Venezia,31.10.2027,45.434272,12.338271
Tutti i santi,Venezia,Venezia,01.11.2027,45.434272,12.338271
Festa della Madonna della Salute,Venezia,Venezia,21.11.2027,45.434272,12.338271
Primo Avvento,Venezia,Venezia,28.11.2027,45.434272,12.338271
Secondo Avvento,Venezia,Venezia,05.12.2027,45.434272,12.338271
Immacolata Concezione,Venezia,Venezia,08.12.2027,45.434272,12.338271
Terzo Avvento,Venezia,Venezia,12.12.2027,45.434272,12.338271
Quarto Avvento,Venezia,Venezia,19.12.2027,45.434272,12.338271
Natale,Venezia,Venezia,25.12.2027,45.434272,12.338271
Santo Stefano,Venezia,Venezia,26.12.2027,45.434272,12.338271
San Silvestro,Venezia,Venezia,31.12.2027,45.434272,12.338271
